cod_munibge,area plantada,area colhida,quantidade produzida,valor da producao,cod_produto
4100509,0,0,0,0,17
4100509,88,88,30,567,18
4100509,88,88,30,567,19
4100509,0,0,0,0,20
4100509,0,0,0,0,21
4100509,0,0,0,0,22
4100509,0,0,0,0,23
4100509,0,0,0,0,24
4100509,0,0,0,0,25
4100509,0,0,0,0,26
4100509,0,0,0,0,27
4100509,0,0,0,0,28
4100509,0,0,0,0,29
4100509,8,8,5,9,30
4100509,0,0,0,0,31
4100509,0,0,0,0,32
4100509,0,0,0,0,33
4100509,0,0,0,0,34
4100509,0,0,0,0,35
4100509,0,0,0,0,36
4100509,0,0,0,0,37
4100509,0,0,0,0,38
4100509,3,3,50,175,39
4100509,0,0,0,0,40
4100509,0,0,0,0,41
4100509,80,80,2000,3300,42
4100509,550,550,10200,14280,43
4100509,0,0,0,0,44
4100509,0,0,0,0,45
4100509,0,0,0,0,46
4100509,0,0,0,0,47
4100509,0,0,0,0,48
4100509,2382,2382,52000,49793,49
4100509,2,2,40,148,50
4100509,0,0,0,0,51
4100509,0,0,0,0,52
4100509,4,4,160,152,53
4100509,0,0,0,0,54
4100509,3600,3600,7200,9341,55
4100509,0,0,0,0,56
4100509,0,0,0,0,57
4100509,0,0,0,0,58
4100509,0,0,0,0,59
4100509,0,0,0,0,60
4100509,0,0,0,0,61
4100509,0,0,0,0,62
4100509,6930,6930,3465,10499,63
4100509,0,0,0,0,64
4100509,10,10,160,203,65
4100509,1,1,30,116,66
4100509,0,0,0,0,67
4100509,0,0,0,0,68
4100509,0,0,0,0,69
4100509,0,0,0,0,70
4100509,5,5,35,200,71
4100608,0,0,0,0,1
4100608,14,14,420,714,2
4100608,0,0,0,0,3
4100608,0,0,0,0,4
4100608,0,0,0,0,5
4100608,0,0,0,0,6
4100608,0,0,0,0,7
4100608,435,435,1349,4317,8
4100608,0,0,0,0,9
4100608,0,0,0,0,10
4100608,0,0,0,0,11
4100608,0,0,0,0,12
4100608,0,0,0,0,13
4100608,0,0,0,0,14
4100608,259,259,430,2150,15
4100608,0,0,0,0,16
4100608,0,0,0,0,17
4100608,13,13,9,81,18
4100608,13,13,9,81,19
4100608,0,0,0,0,20
4100608,0,0,0,0,21
4100608,3182,3182,175086,18384,22
4100608,0,0,0,0,23
4100608,0,0,0,0,24
4100608,0,0,0,0,25
4100608,0,0,0,0,26
4100608,0,0,0,0,27
4100608,0,0,0,0,28
4100608,0,0,0,0,29
4100608,7,7,70,84,30
4100608,0,0,0,0,31
4100608,0,0,0,0,32
